lsoa_code,e_i,u_i,V_i,london_income_decile,mismatch_category
E01002840,5,0.0066983796294753,215.0,1,Apparently adequate
E01002841,17,0.0275544662303013,342.0,5,Saturated / potentially underprovided
E01002842,0,,145.0,1,"Low-demand, no provision"
E01002843,3,0.0371093749992283,248.0,1,Saturated / potentially underprovided
E01002844,8,0.0084327739192708,378.0,9,Apparently adequate
E01002845,3,0.0063168724278549,282.0,6,Apparently adequate
E01002846,6,0.0057357681752722,215.99999999999997,6,Apparently adequate
E01002847,8,0.0114156539350887,249.99999999999991,8,Apparently adequate
E01002848,9,0.0056179483878386,201.99999999999997,6,Apparently adequate
E01002849,8,0.0400314911252893,290.99999999999994,9,Saturated / potentially underprovided
E01002850,3,0.0268697916657021,264.99999999999994,8,Saturated / potentially underprovided
E01002851,8,0.0252433931320891,195.99999999999991,2,Saturated / potentially underprovided
E01002852,3,0.0509073431054526,333.0,2,Saturated / potentially underprovided
E01002853,2,0.0183167438263888,244.0,3,Saturated / potentially underprovided
E01002854,4,0.0375097415118634,183.0,1,Saturated / potentially underprovided
E01002855,2,0.0383260030853587,280.99999999999994,1,Saturated / potentially underprovided
E01002856,9,0.0275076731813914,260.0,3,Saturated / potentially underprovided
E01002857,3,0.0347038323041409,219.0,1,Saturated / potentially underprovided
E01002858,6,0.0123191229419367,212.0,6,Apparently adequate
E01002859,14,0.01861331569596,348.0,10,Saturated / potentially underprovided
E01002860,17,0.0225749024138185,414.0,10,Saturated / potentially underprovided
E01002861,6,0.0213974086929012,334.0,9,Saturated / potentially underprovided
E01002862,3,0.0295651363162294,203.99999999999997,4,Saturated / potentially underprovided
E01002863,11,0.0192602237647131,362.0,10,Saturated / potentially underprovided
E01002864,11,0.0216637380746527,470.0,10,Saturated / potentially underprovided
E01002865,14,0.0026882164901895,455.0,10,Apparently adequate
E01002866,11,0.0399849712393144,400.00000000000006,8,Saturated / potentially underprovided
E01002867,7,0.0247783840376433,389.99999999999994,5,Saturated / potentially underprovided
E01002868,13,0.0106119420698747,516.0,10,Apparently adequate
E01002869,8,0.0108047598378906,363.99999999999994,7,Apparently adequate
E01002870,7,0.0352199900782352,272.99999999999994,2,Saturated / potentially underprovided
E01002871,19,0.0178549890346816,575.0,10,Saturated / potentially underprovided
E01002872,7,0.008649029981757,313.99999999999994,2,Apparently adequate
E01002873,11,0.016247650111795,404.0,8,Saturated / potentially underprovided
E01002874,11,0.0259788860817901,315.0,6,Saturated / potentially underprovided
E01002875,21,0.0196110376242926,468.0,9,Saturated / potentially underprovided
E01002876,10,0.0315724729931134,564.0,8,Saturated / potentially underprovided
E01002877,7,0.016658895502177,479.0,3,Saturated / potentially underprovided
E01002878,6,0.0076262860079089,300.99999999999994,4,Apparently adequate
E01002879,4,0.0183547935948109,310.0,4,Saturated / potentially underprovided
E01002880,3,0.0235641718097993,191.99999999999997,1,Saturated / potentially underprovided
E01002881,9,0.0149404578185013,267.0,2,Apparently adequate
E01002882,10,0.0212305748449266,298.0,7,Saturated / potentially underprovided
E01002883,9,0.0159818029830461,392.0,10,Apparently adequate
E01002884,4,0.0099166184409239,207.0,9,Apparently adequate
E01002885,4,0.0167693865734953,233.99999999999991,8,Saturated / potentially underprovided
E01002886,9,0.0097962534289051,407.0,9,Apparently adequate
E01002887,6,0.0286305298340406,234.0,10,Saturated / potentially underprovided
E01002888,5,0.0156453703700617,318.99999999999994,10,Apparently adequate
E01002889,9,0.0094715792174211,375.0,10,Apparently adequate
E01002890,13,0.020125148384786,502.0,10,Saturated / potentially underprovided
E01002891,10,0.0114813753851562,337.0,10,Apparently adequate
E01002892,11,0.022468504488724,313.99999999999994,10,Saturated / potentially underprovided
E01002893,6,0.03719457304411,324.99999999999994,6,Saturated / potentially underprovided
E01002894,3,0.0079616769547325,248.99999999999997,8,Apparently adequate
E01002896,8,0.0284520238545283,471.0,10,Saturated / potentially underprovided
E01002897,2,0.0192759452154706,333.99999999999994,8,Saturated / potentially underprovided
E01002898,13,0.0121741156214981,447.0,10,Apparently adequate
E01002899,9,0.0078286501195451,304.0,4,Apparently adequate
E01002900,5,0.0086768287027391,546.9999999999999,10,Apparently adequate
E01002901,9,0.0205039437576731,281.0,9,Saturated / potentially underprovided
E01002902,7,0.0059708994705136,335.99999999999994,8,Apparently adequate
E01002903,12,0.0049383037548868,544.0,10,Apparently adequate
E01002904,3,0.0613101851840277,272.0,1,Saturated / potentially underprovided
E01002905,9,0.0255819830238983,344.99999999999994,2,Saturated / potentially underprovided
E01002906,10,0.0233455246906828,413.0,4,Saturated / potentially underprovided
E01002907,1,0.0241741898139467,247.0,1,Saturated / potentially underprovided
E01002908,7,0.005272431657738,395.0,6,Apparently adequate
E01002909,15,0.0266423739703317,504.99999999999994,6,Saturated / potentially underprovided
E01002910,14,0.0169085280712999,403.0,8,Saturated / potentially underprovided
E01002911,11,0.0071893062564709,490.0,10,Apparently adequate
E01002912,10,0.0272170621132233,341.0,9,Saturated / potentially underprovided
E01002913,4,0.0335117187485532,494.00000000000006,7,Saturated / potentially underprovided
E01002914,15,0.0152606095674125,385.0,10,Apparently adequate
E01002915,0,,747.0,8,Demand-implied desert
E01002916,0,,736.0,10,Demand-implied desert
E01002917,0,,762.0,10,Demand-implied desert
E01002918,0,,815.0,6,Demand-implied desert
E01002919,2,0.0,808.0,4,Apparently adequate
E01002920,0,,797.0,10,Demand-implied desert
E01002921,5,0.0229866512342592,578.0,7,Saturated / potentially underprovided
E01002922,1,0.0025474537037037,803.0,8,Apparently adequate
E01002923,1,0.0821755401219135,557.0,3,Saturated / potentially underprovided
E01002924,0,,778.0,10,Demand-implied desert
E01002925,8,0.0176349344132908,675.0,8,Saturated / potentially underprovided
E01002926,1,0.0163861882708333,756.0,10,Saturated / potentially underprovided
E01002927,2,0.0137708333329475,671.0,8,Apparently adequate
E01002928,3,0.0428244598759002,663.0,6,Saturated / potentially underprovided
E01002929,3,0.0239587191354166,767.0,10,Saturated / potentially underprovided
E01002930,9,0.019650684440372,666.0,7,Saturated / potentially underprovided
E01002931,7,0.0141370701057649,751.0,9,Apparently adequate
E01002932,0,,620.0,4,Demand-implied desert
E01002933,11,0.0115316884116863,701.0,6,Apparently adequate
E01002934,4,0.02829938271576,780.0,9,Saturated / potentially underprovided
E01002935,7,0.0233676146380437,659.0,8,Saturated / potentially underprovided
E01002937,25,0.0097147839504243,658.0,10,Apparently adequate
E01002938,9,0.0087586162550154,790.0,9,Apparently adequate
E01002939,4,0.0159908371890914,769.0,6,Apparently adequate
E01002940,5,0.0199791666665123,764.0,7,Saturated / potentially underprovided
E01002941,2,0.0519666280861625,835.0,9,Saturated / potentially underprovided
E01002942,0,,719.9999999999999,9,Demand-implied desert
E01002943,6,0.0246712319954346,721.0,7,Saturated / potentially underprovided
E01002944,3,0.0023140432098765,670.0,7,Apparently adequate
E01002945,0,,828.0,9,Demand-implied desert
E01002946,0,,865.0,9,Demand-implied desert
E01002947,0,,916.0,9,Demand-implied desert
E01002948,0,,1149.0,7,Demand-implied desert
E01002949,1,0.0,973.9999999999998,8,Apparently adequate
E01002950,7,0.003191192680776,793.0,5,Apparently adequate
E01002951,2,0.0118630401230709,611.9999999999999,9,Apparently adequate
E01002952,0,,807.0,10,Demand-implied desert
E01002953,0,,696.0,10,Demand-implied desert
E01002954,0,,410.0,5,"Low-demand, no provision"
E01002955,0,,684.0,7,Demand-implied desert
E01002956,4,0.0055260416665702,658.0,9,Apparently adequate
E01002957,0,,488.0,4,"Low-demand, no provision"
E01002958,11,0.0258048014866547,718.9999999999999,9,Saturated / potentially underprovided
E01002959,0,,755.0,10,Demand-implied desert
E01002960,6,0.0323061985564879,686.9999999999998,10,Saturated / potentially underprovided
E01002961,4,0.0014666280864197,835.0000000000001,9,Apparently adequate
E01002962,0,,659.0000000000001,5,Demand-implied desert
E01002963,2,0.0331003086415895,628.0,7,Saturated / potentially underprovided
E01002964,7,0.0215777116397156,636.0,6,Saturated / potentially underprovided
E01002965,4,0.0099449266973861,856.0,8,Apparently adequate
E01002966,8,0.0301497878077739,745.0,9,Saturated / potentially underprovided
