lsoa_code,lsoa_name,ej,seff,ubar_i,has_evse_i,desert_condition
E01001235,Ealing 042D,1,0.0,0.0,True,B_underutilised
E01001236,Ealing 042C,2,0.8137896825396824,0.2034474206349206,True,normal
E01034030,Ealing 042A,3,1.35,0.22501653439153438,True,normal
E01034031,Ealing 042B,0,0.0,,False,A_true_desert
E01001367,Ealing 043B,1,0.1551587301587301,0.07757936507936505,True,normal
E01001372,Ealing 043C,2,0.0,0.0,True,B_underutilised
E01001373,Ealing 043A,4,0.0,0.0,True,B_underutilised
E01001366,Ealing 044C,2,0.0,0.0,True,B_underutilised
E01001368,Ealing 044D,0,0.0,,False,A_true_desert
E01001370,Ealing 044A,1,0.0,0.0,True,B_underutilised
E01001371,Ealing 044B,1,0.0,0.0,True,B_underutilised
E01001444,Enfield 001A,0,0.0,,False,A_true_desert
E01001446,Enfield 001B,0,0.0,,False,A_true_desert
E01001546,Enfield 001C,0,0.0,,False,A_true_desert
E01001552,Enfield 001D,0,0.0,,False,A_true_desert
E01001442,Enfield 002A,0,0.0,,False,A_true_desert
E01001545,Enfield 002B,0,0.0,,False,A_true_desert
E01001547,Enfield 002C,0,0.0,,False,A_true_desert
E01001548,Enfield 002D,0,0.0,,False,A_true_desert
E01001551,Enfield 002E,1,0.7720238095238096,0.7720238095238096,True,normal
E01001445,Enfield 003B,0,0.0,,False,A_true_desert
E01001447,Enfield 003C,0,0.0,,False,A_true_desert
E01001448,Enfield 003D,0,0.0,,False,A_true_desert
E01001449,Enfield 003E,0,0.0,,False,A_true_desert
E01033148,Enfield 003F,0,0.0,,False,A_true_desert
E01033150,Enfield 003G,0,0.0,,False,A_true_desert
E01001408,Enfield 004A,2,0.00039682539682534923,0.00019841269841267461,True,B_underutilised
E01001411,Enfield 004B,1,0.0,0.0,True,B_underutilised
E01001412,Enfield 004C,0,0.0,,False,A_true_desert
E01001413,Enfield 004D,0,0.0,,False,A_true_desert
E01001414,Enfield 004E,0,0.0,,False,A_true_desert
E01001407,Enfield 005A,0,0.0,,False,A_true_desert
E01001409,Enfield 005B,0,0.0,,False,A_true_desert
E01001410,Enfield 005C,0,0.0,,False,A_true_desert
E01001516,Enfield 005D,0,0.0,,False,A_true_desert
E01001537,Enfield 005E,0,0.0,,False,A_true_desert
E01001439,Enfield 006A,2,1.4594246031746032,0.1824280753968254,True,normal
E01001441,Enfield 006B,0,0.0,,False,A_true_desert
E01001517,Enfield 006C,0,0.0,,False,A_true_desert
E01001549,Enfield 006D,0,0.0,,False,A_true_desert
E01001550,Enfield 006E,0,0.0,,False,A_true_desert
E01001433,Enfield 007A,0,0.0,,False,A_true_desert
E01001434,Enfield 007B,0,0.0,,False,A_true_desert
E01001435,Enfield 007C,0,0.0,,False,A_true_desert
E01001436,Enfield 007D,0,0.0,,False,A_true_desert
E01001438,Enfield 007E,0,0.0,,False,A_true_desert
E01001469,Enfield 008A,0,0.0,,False,A_true_desert
E01001536,Enfield 008B,0,0.0,,False,A_true_desert
E01001540,Enfield 008C,2,9.92063492063492e-05,4.96031746031746e-05,True,B_underutilised
E01001541,Enfield 008D,2,0.0004960317460316,0.0002480158730158,True,B_underutilised
E01001542,Enfield 008E,0,0.0,,False,A_true_desert
E01001538,Enfield 009A,0,0.0,,False,A_true_desert
E01001539,Enfield 009B,0,0.0,,False,A_true_desert
E01001543,Enfield 009C,0,0.0,,False,A_true_desert
E01001544,Enfield 009D,0,0.0,,False,A_true_desert
E01001457,Enfield 010A,0,0.0,,False,A_true_desert
E01001468,Enfield 010B,0,0.0,,False,A_true_desert
E01001471,Enfield 010C,0,0.0,,False,A_true_desert
E01001472,Enfield 010D,0,0.0,,False,A_true_desert
E01001474,Enfield 010E,1,9.92063492063492e-05,9.92063492063492e-05,True,B_underutilised
E01001415,Enfield 011A,1,1.1211309523809523,0.5605654761904761,True,normal
E01001417,Enfield 011B,0,0.0,,False,A_true_desert
E01001418,Enfield 011C,1,0.0,0.0,True,B_underutilised
E01001422,Enfield 011D,0,0.0,,False,A_true_desert
E01001440,Enfield 012A,0,0.0,,False,A_true_desert
E01001504,Enfield 012B,0,0.0,,False,A_true_desert
E01001505,Enfield 012C,0,0.0,,False,A_true_desert
E01001507,Enfield 012D,0,0.0,,False,A_true_desert
E01001508,Enfield 012E,0,0.0,,False,A_true_desert
E01001513,Enfield 012F,0,0.0,,False,A_true_desert
E01001416,Enfield 013A,0,0.0,,False,A_true_desert
E01001470,Enfield 013B,1,0.0,0.0,True,B_underutilised
E01001473,Enfield 013C,0,0.0,,False,A_true_desert
E01001475,Enfield 013D,0,0.0,,False,A_true_desert
E01001437,Enfield 014A,0,0.0,,False,A_true_desert
E01001509,Enfield 014C,0,0.0,,False,A_true_desert
E01033926,Enfield 014E,0,0.0,,False,A_true_desert
E01001405,Enfield 015A,0,0.0,,False,A_true_desert
E01001406,Enfield 015B,2,0.02599206349206345,0.012996031746031724,True,normal
E01001450,Enfield 015C,0,0.0,,False,A_true_desert
E01001512,Enfield 015D,1,0.9289682539682539,0.46448412698412694,True,normal
E01001515,Enfield 015E,0,0.0,,False,A_true_desert
E01001401,Enfield 016A,0,0.0,,False,A_true_desert
E01001478,Enfield 016B,0,0.0,,False,A_true_desert
E01001484,Enfield 016C,0,0.0,,False,A_true_desert
E01001511,Enfield 016D,0,0.0,,False,A_true_desert
E01001514,Enfield 016E,0,0.0,,False,A_true_desert
E01001518,Enfield 016F,0,0.0,,False,A_true_desert
E01001451,Enfield 017A,0,0.0,,False,A_true_desert
E01001452,Enfield 017B,0,0.0,,False,A_true_desert
E01001453,Enfield 017C,0,0.0,,False,A_true_desert
E01001454,Enfield 017D,1,0.0001984126984126,0.0001984126984126,True,B_underutilised
E01001476,Enfield 018A,0,0.0,,False,A_true_desert
E01001477,Enfield 018B,0,0.0,,False,A_true_desert
E01001481,Enfield 018C,0,0.0,,False,A_true_desert
E01001502,Enfield 018D,0,0.0,,False,A_true_desert
E01001503,Enfield 018E,0,0.0,,False,A_true_desert
E01001520,Enfield 019A,0,0.0,,False,A_true_desert
E01001522,Enfield 019B,0,0.0,,False,A_true_desert
E01001523,Enfield 019C,0,0.0,,False,A_true_desert
E01001524,Enfield 019D,0,0.0,,False,A_true_desert
E01001526,Enfield 019E,0,0.0,,False,A_true_desert
E01001419,Enfield 020A,1,0.0001984126984126,0.0001984126984126,True,B_underutilised
E01001420,Enfield 020B,5,0.0,0.0,True,B_underutilised
E01001421,Enfield 020C,0,0.0,,False,A_true_desert
E01001525,Enfield 020E,0,0.0,,False,A_true_desert
E01033927,Enfield 020F,2,0.9146825396825395,0.22867063492063489,True,normal
E01033928,Enfield 020G,0,0.0,,False,A_true_desert
E01001398,Enfield 021A,0,0.0,,False,A_true_desert
E01001399,Enfield 021B,0,0.0,,False,A_true_desert
E01001400,Enfield 021C,0,0.0,,False,A_true_desert
E01001402,Enfield 021D,0,0.0,,False,A_true_desert
E01001403,Enfield 021E,1,0.0,0.0,True,B_underutilised
E01001455,Enfield 021F,0,0.0,,False,A_true_desert
