lsoa_code,lsoa_name,e_i,S_eff_i,U_i,n_evse,n_active_evse,n_active_locations,has_evse_i
E01002092,Haringey 006B,0,0.0,,0,0,0,False
E01002093,Haringey 005B,4,0.24401581787866514,0.061003954469666284,10,2,1,True
E01002094,Haringey 006C,0,0.0,,0,0,0,False
E01002095,Haringey 006D,1,0.0,0.0,1,0,0,True
E01002096,Haringey 005C,1,0.0,0.0,2,0,0,True
E01002097,Haringey 005D,1,0.014899305555555556,0.014899305555555556,2,2,1,True
E01002098,Haringey 007A,1,0.010965277777777777,0.010965277777777777,2,2,1,True
E01002099,Haringey 008A,1,0.010426697530381945,0.010426697530381945,4,3,1,True
E01002100,Haringey 008B,1,0.02431391460789609,0.02431391460789609,3,3,1,True
E01002101,Haringey 007B,3,0.1500027006120756,0.0500009002040252,4,4,3,True
E01002102,Haringey 007C,4,0.0043676697527006165,0.0010919174381751541,16,6,2,True
E01002103,Haringey 008C,0,0.0,,0,0,0,False
E01002104,Haringey 008D,1,0.02727237654282407,0.02727237654282407,2,2,1,True
E01002105,Haringey 007D,3,0.06023206018229167,0.020077353394097223,6,4,2,True
E01002106,Harrow 008A,0,0.0,,0,0,0,False
E01002107,Harrow 012A,0,0.0,,0,0,0,False
E01002108,Harrow 008B,0,0.0,,0,0,0,False
E01002109,Harrow 008C,0,0.0,,0,0,0,False
E01002110,Harrow 008D,0,0.0,,0,0,0,False
E01002111,Harrow 008E,0,0.0,,0,0,0,False
E01002112,Harrow 001A,0,0.0,,0,0,0,False
E01002113,Harrow 002A,0,0.0,,0,0,0,False
E01002114,Harrow 001B,0,0.0,,0,0,0,False
E01002115,Harrow 002B,0,0.0,,0,0,0,False
E01002116,Harrow 002C,0,0.0,,0,0,0,False
E01002118,Harrow 002E,0,0.0,,0,0,0,False
E01002119,Harrow 007A,0,0.0,,0,0,0,False
E01002120,Harrow 007B,0,0.0,,0,0,0,False
E01002121,Harrow 007C,0,0.0,,0,0,0,False
E01002122,Harrow 007D,0,0.0,,0,0,0,False
E01002123,Harrow 007E,0,0.0,,0,0,0,False
E01002124,Harrow 010A,0,0.0,,0,0,0,False
E01002125,Harrow 010B,0,0.0,,0,0,0,False
E01002127,Harrow 023B,0,0.0,,0,0,0,False
E01002128,Harrow 020A,0,0.0,,0,0,0,False
E01002129,Harrow 023C,3,0.0,0.0,6,0,0,True
E01002130,Harrow 020B,2,0.05769309413329475,0.028846547066647375,6,2,1,True
E01002131,Harrow 023D,0,0.0,,0,0,0,False
E01002132,Harrow 029A,0,0.0,,0,0,0,False
E01002133,Harrow 027A,1,0.008233217592335392,0.008233217592335392,6,2,1,True
E01002134,Harrow 029B,0,0.0,,0,0,0,False
E01002135,Harrow 029C,0,0.0,,0,0,0,False
E01002136,Harrow 027B,0,0.0,,0,0,0,False
E01002137,Harrow 029D,0,0.0,,0,0,0,False
E01002138,Harrow 027C,0,0.0,,0,0,0,False
E01002139,Harrow 006A,0,0.0,,0,0,0,False
E01002140,Harrow 005A,0,0.0,,0,0,0,False
E01002141,Harrow 005B,0,0.0,,0,0,0,False
E01002142,Harrow 005C,0,0.0,,0,0,0,False
E01002143,Harrow 005D,0,0.0,,0,0,0,False
E01002144,Harrow 004A,0,0.0,,0,0,0,False
E01002145,Harrow 005E,0,0.0,,0,0,0,False
E01002146,Harrow 004B,0,0.0,,0,0,0,False
E01002147,Harrow 004C,0,0.0,,0,0,0,False
E01002148,Harrow 006B,0,0.0,,0,0,0,False
E01002149,Harrow 004D,0,0.0,,0,0,0,False
E01002150,Harrow 006C,2,0.01611381172800926,0.00805690586400463,4,2,1,True
E01002151,Harrow 006D,0,0.0,,0,0,0,False
E01002152,Harrow 006E,0,0.0,,0,0,0,False
E01002153,Harrow 019A,0,0.0,,0,0,0,False
E01002155,Harrow 019B,0,0.0,,0,0,0,False
E01002156,Harrow 015B,0,0.0,,0,0,0,False
E01002157,Harrow 019C,0,0.0,,0,0,0,False
E01002158,Harrow 019D,0,0.0,,0,0,0,False
