site_id,osm_id,name,x,y
S338,1425908270,,528575.0447150121,185398.95806409218
S339,1425910867,,528412.2318021004,185929.1512453643
S340,1451730985,,529419.5174318827,183885.17332092323
S341,1451730988,,529452.345502207,183889.9233730902
S342,1478702314,,530638.9789914647,181404.54349765324
S343,1478702319,,530673.6846615833,181330.31392931656
S344,1479650756,,528762.0439759397,183082.16427607118
S345,1479650757,,528794.2752772181,183247.53968218784
S346,1479650759,,528838.4710171495,183105.38575818768
S347,1503768852,,528913.92823164,183050.9455258692
