lsoa_code,lsoa_name,driving_age_pop,income_score,income_decile,D_A,D_B,D_C,D_D
E01000082,Barking and Dagenham 007E,1423,0.395,2,176.452,183.42185400000002,197.36156200000002,211.30127
E01000083,Barking and Dagenham 007F,1353,0.424,2,167.77200000000002,174.88553280000002,189.11259840000002,203.33966400000003
E01000084,Barking and Dagenham 013D,1064,0.364,2,131.936,136.7384704,146.3434112,155.948352
E01000085,Barking and Dagenham 013E,1217,0.427,2,150.908,157.35177159999998,170.23931479999996,183.126858
E01000086,Barking and Dagenham 013F,1070,0.437,2,132.68,138.47811600000003,150.07434800000001,161.67058
E01000087,Barking and Dagenham 020B,1192,0.445,2,147.808,154.38545599999998,167.54036799999997,180.69527999999997
E01000088,Barking and Dagenham 020C,1424,0.337,3,176.57600000000002,182.52661120000005,194.4278336,206.32905600000004
E01000089,Barking and Dagenham 020D,1258,0.451,2,155.99200000000002,163.0272392,177.0977176,191.16819600000002
E01000090,Barking and Dagenham 020E,1203,0.454,2,149.172,155.94440880000002,169.4892264,183.03404400000002
E01000091,Barking and Dagenham 022A,1442,0.499,1,178.808,187.7305192,205.57555759999997,223.420596
E01000093,Barking and Dagenham 022B,1296,0.471,1,160.704,168.2731584,183.4114752,198.54979200000002
E01000094,Barking and Dagenham 022C,1666,0.374,2,206.58400000000003,214.31024160000004,229.76272480000006,245.21520800000005
E01000095,Barking and Dagenham 018E,1493,0.525,1,185.132,194.85143,214.29029,233.72915
E01000096,Barking and Dagenham 022D,1086,0.417,2,134.66400000000002,140.27948880000002,151.5104664,162.741444
E01000097,Barking and Dagenham 023C,1425,0.416,2,176.70000000000002,184.05072000000004,198.75216000000003,213.45360000000002
E01000098,Barking and Dagenham 023D,1380,0.441,2,171.12,178.666392,193.75917600000002,208.85196
E01000099,Barking and Dagenham 023E,1992,0.343,3,247.008,255.48037440000002,272.42512320000003,289.369872
E01000100,Barking and Dagenham 004B,1391,0.341,3,172.484,178.3657044,190.1291132,201.892522
E01000101,Barking and Dagenham 004C,1277,0.417,2,158.348,164.95111160000002,178.1573348,191.363558
E01000102,Barking and Dagenham 007G,1273,0.463,2,157.852,165.1605476,179.7776428,194.39473800000002
E01000103,Barking and Dagenham 014A,1292,0.369,2,160.208,166.1196752,177.9430256,189.76637599999998
E01000104,Barking and Dagenham 014B,1362,0.442,2,168.888,176.3528496,191.2825488,206.21224800000002
E01000105,Barking and Dagenham 014C,1721,0.471,1,213.404,223.45532839999998,243.5579852,263.660642
E01000106,Barking and Dagenham 014D,1557,0.574,1,193.068,204.1501032,226.3143096,248.478516
E01000107,Barking and Dagenham 010C,1343,0.317,3,166.532,171.81106440000002,182.3691932,192.92732200000003
E01000108,Barking and Dagenham 010D,1409,0.353,3,174.716,180.8834748,193.21842440000003,205.553374
E01000110,Barking and Dagenham 002C,1205,0.24,4,149.42000000000002,153.00608000000003,160.17824000000002,167.35040000000004
E01000111,Barking and Dagenham 002D,1579,0.336,3,195.79600000000002,202.37474560000004,215.53223680000002,228.689728
E01000112,Barking and Dagenham 002E,1481,0.293,3,183.644,189.02476920000004,199.78630760000001,210.54784600000002
E01000113,Barking and Dagenham 002F,1481,0.336,3,183.644,189.81443840000003,202.15531520000002,214.49619199999998
E01000114,Barking and Dagenham 004E,1668,0.375,2,206.83200000000002,214.58820000000003,230.10060000000004,245.61300000000003
E01000115,Barnet 009A,1157,0.063,10,143.46800000000002,144.3718484,146.1795452,147.98724200000004
