location_id,zapmap_device_uid,power_band,device_max_power
LCBH02M,K16E95D,1. Slow,3000
F3TIG1U,1C3VMH2,1. Slow,3000
W540O2F,37D0HT1,1. Slow,3000
RE3XA9U,D27K5QN,1. Slow,3000
1469ZXW,LQ5E1WP,1. Slow,3000
AQ7BKO0,T78KXP1,1. Slow,3000
9PLE43Y,QZFIE82,1. Slow,3000
IKVG9FQ,9CV06TY,1. Slow,3000
RE3XA9U,5P8GC7B,1. Slow,3000
JGM2X93,QBF31U6,1. Slow,3000
VPT76NY,0MXUCOH,1. Slow,3000
WQ59AVJ,NS86FGI,1. Slow,3000
RE3XA9U,CEM3SAJ,1. Slow,3000
1AR9037,BLU5BC2,1. Slow,3000
K5BGTR0,H2XC4BR,1. Slow,3000
BGPBL4T,DY78LR4,1. Slow,3000
32WKS0Y,MROS9KN,1. Slow,3000
2Y6N0MY,AXMU6O5,1. Slow,3000
23QHJUW,82SZHN1,1. Slow,3000
7E4P5MX,JYFVKI1,1. Slow,3000
16CNBNW,3R1F8JD,1. Slow,3000
6UN85E9,DD8IG8V,1. Slow,3000
DU6R37H,O540L2Y,1. Slow,3000
11G2N79,5MIQTPV,1. Slow,3000
6UN85E9,DX15BCJ,1. Slow,3000
I8B3FEY,UM2DR8T,1. Slow,3000
K9W5NMQ,2QVRZUJ,1. Slow,3000
23QHJUW,Z0GY71K,1. Slow,3000
RE3XA9U,6U4SHF3,1. Slow,3000
2Y6N0MY,CD1XJNC,1. Slow,3000
1QJA486,XP043E7,1. Slow,3000
PQ8ZH0V,H0VTI6Q,1. Slow,3000
1J8F2EG,Y3B8VXW,1. Slow,3000
R2V5NB8,QADBHG3,1. Slow,3000
23QHJUW,UEIWRLQ,1. Slow,3000
4M86ELZ,54F6VOI,1. Slow,3000
23QHJUW,M9IHXA8,1. Slow,3000
8X6KJQ6,9T7K7LV,1. Slow,3000
BIWC0D6,8EK0H1B,1. Slow,3000
1NCQ0AM,1WVD0ZF,1. Slow,3000
UNI2F5E,1HVLC9B,1. Slow,3000
6UN85E9,4K38S8S,1. Slow,3000
A3M0VMM,4P0F8H1,1. Slow,3000
23QHJUW,2EJZ3K0,1. Slow,3000
VR6CENK,XM73DSO,1. Slow,3000
N5P08Q6,1KBR64P,1. Slow,3000
9SG784R,I52YRST,1. Slow,3000
LDVFDJM,V2PYM55,1. Slow,3000
960Z48U,CYLZJ0E,1. Slow,3000
23QHJUW,CIUVT3K,1. Slow,3000
23QHJUW,HN8DZUS,1. Slow,3000
A3M0VMM,CRT5SIP,1. Slow,3000
7AZQF6H,XO02AEH,1. Slow,3000
89MBC3O,7BFTX6V,1. Slow,3000
E6V8R2B,VLIRQ3J,1. Slow,3000
K9W5NMQ,AX5R4EC,1. Slow,3000
6UN85E9,5HJ5E2E,1. Slow,3000
16CNBNW,5GYWPHK,1. Slow,3000
DYVSLQP,K5XCNY8,1. Slow,3000
BK35UYA,C5H9JRS,1. Slow,3000
BK35UYA,SANOP1D,1. Slow,3000
28UORN3,LBWJS1X,1. Slow,3000
4XAF6OJ,7WIAF1D,1. Slow,3000
Y3KZS2N,D9NR6BF,1. Slow,3000
3OD27NB,73OHQYM,1. Slow,3000
16CNBNW,2TDMYV2,1. Slow,3000
ZDYHE4U,61TD8YH,1. Slow,3000
16CNBNW,B826BCD,1. Slow,3000
6UN85E9,9M2DD0K,1. Slow,3000
RE3XA9U,DXQRSZF,1. Slow,3000
2Y6N0MY,70WY28U,1. Slow,3000
R9YX6G5,G1A27F5,1. Slow,3000
1NCQ0AM,UCNQ1IA,1. Slow,3000
6UN85E9,BLI69YO,1. Slow,3000
SMMZQ3O,JA13UTV,1. Slow,3000
ISOWWUR,C5VWICM,1. Slow,3000
A2SRPZH,S9BD3JM,1. Slow,3000
6UN85E9,3PAGR78,1. Slow,3000
