evse_uid,total_duration_min,location_id,latitude,longitude,ur_j
01374365f14c657652db661e00217b31,308.06666666666666,44MCBVY,51.582779,-0.193478,0.007131172839506173
013913a2a8006bb053fde75fccbfa2c4,218.08333331666668,RDUBF5Z,51.580132,0.23979,0.005048225308256173
013f45cfdde9beb78dceb17712795a90,343.6333333333333,9XCYULP,51.52983,-0.036171,0.007954475308641976
014127a19a15f6a96e7dbd2d9bb99589,171.83333333333334,DWPZ09F,51.527705,-0.189991,0.0039776234567901235
014653779a0e569d611a0a4f2e2b1120,7934.7499999833335,APKQ8XU,51.552202,0.04612,0.18367476851813272
0148468f37f64d4f89efd016168376d0,203.25,KV5IHXX,51.540302,-0.200638,0.004704861111111111
014d9e6994353301688abc696059f22a,29472.96666639974,5J57JD6,51.517005,0.075474,0.6822445987592533
014f20661a4e4dd28575813da8c0f09d,645.65,DQYRRZE,51.464459,-0.24922,0.01494560185185185
015225e64503ab31e02f61d10bb4f1dd,494.95000000000005,LX3OG1H,51.615226,-0.180832,0.011457175925925926
0153b9f6397649bbbb0a29e669f3907a,1356.9499999999998,JIJCS8Z,51.451934,-0.155676,0.03141087962962963
0157a5067772b6dc65128e6f90c0dfc3,0.9166666333333333,DVO8D4Y,51.43249,0.140164,2.1219135030864197e-05
016497b395496b7708555413d7a1d077,380.43333333333334,8BQEIU9,51.452839,-0.158871,0.008806327160493828
0165196414cc4062b7497379cec11813,8074.799999999999,E4PK1HP,51.459213,-0.047573,0.18691666666666665
0165340d2ebe7c8a425e337b17ea0072,10551.066666499999,162V8BA,51.48115,-0.128335,0.2442376543171296
01688d4ce5be48d2a64675d677b219a6,341.71666666666664,4PNLDXQ,51.525493,-0.04356,0.007910108024691357
01714e5b71ad457085ee4b3111bd1bb9,292.43333333333334,D3ODOVD,51.45823,-0.092003,0.00676929012345679
01742a815715ea0714455bf9760fb37c,1555.3333333333333,LGIZQN4,51.550564,-0.179245,0.03600308641975308
01746aeb2d754d56d2857a44ea24dafc,749.4333333333334,GOPB2FS,51.518577,-0.194912,0.017347993827160495
01798f4511a945bf83fb9e0c595e43d0,1467.2833333000003,9HUIWUR,51.516365,-0.047515,0.033964891974537045
017f08e11e315373885dff12c294b2fc,5.0,DBUK63J,51.553613,0.084186,0.00011574074074074075
0188a41f18124666a3303f7682273d6c,230.03333333333333,C1ZLWCS,51.492237,-0.241869,0.005324845679012345
01891b73441f5ad540d4e99f07756ee3,691.0999999999999,IWCY5QU,51.536864,-0.178966,0.015997685185185184
018b1dffc89f9c5aa24afe0f13efd57b,5228.949999883334,657HU96,51.405837,0.104461,0.12104050925655867
018e50aa9bc8bd0a239f250b048db947,4218.7499999833335,JG8BW0H,51.520154,-0.069478,0.0976562499996142
